id,name,taxa_kind_id_name,description,col_id,eol_id,Sinonimi,Autore,Etimologia,"Tipo di vegetazione","Diffusione geografica","Nome italiano",Fioritura,Altezza,"Inizio fioritura","Fine fioritura"
195337,"Ononis spinosa",Specie,"Piccolo cespuglio, peloso e spinoso; fiori rosso vino e legume di 1 cm.",63ee72be216e8e1c873740f1ad05602d,642874,,Linneo,"Il nome del genere indicherebbe un foraggio degli asini, da ónos, in greco","Si incontra sulle scarpate, nei prati aridi fino al piano montano.","Gruppo complesso e polimorfo con numerose sottospecie a distribuzione regionale.","Ononide spinosa, arrestabue",,,Maggio,Settembre
429336,"Ononis natrix",Specie,"Piccolo cespuglio, legnoso alla base, densamente peloso, con fiori gialli di 2 cm, ascellari, e legume di 2 cm, penduto.<br /><br />",2182a0185dd845484b8329430d0b62aa,1230284,,Linneo,"Il nome specifico indica una presunta capacità della pianta di allontanare le serpi.","È comune su costoni, ambienti aridi sabbiosi o rocciosi e nei prati fino oltre i 1200 m.","Specie comune nell'Europa mediterranea.","Ononide bacaja",,,Aprile,Luglio
466335,"Chamaecytisus hirsutus",Specie,"Basso cespuglio con rami erbacei e pelosi; foglie con tre elementi, sparse anche tra i fiori ohe presentano corolle con vessillo giallo spesso macchiato di bruno; legume peloso di 3 cm.",fe8382654811d35cfcb88e3c1697b73f,6344036,"(ss Cytisus hirsufus L.)","(L.) Link.","Citiso deriva direttamente dal nome greco della pianta; nel complesso il genere significa 'piccolo citiso'.","Questa specie si incontra nei prati aridi, sulle scarpate, nei cedui fino a 1500 m.","Diffusa in tutta Europa, si rarefa nelle aree mediterranee.","Citiso peloso",,,Maggio,Giugno
595334,"Lupinus luteus",Specie,,,,,,,,,,,,,
41333,"Dorycnium pentaphyllum ssp. herbaceum",Specie,"Piccoli cespugli ramosi, grigio-verdi, presentano foglie sessili a cinque foglioline e capolini terminali di piccolissimi fiori bianchi; legume ovale di 3-5 mm",b890bac30428cffef312d174c697c832,702870,,"Scop. (Vill.) Rouy","Per rendere più difficile la guarigione delle ferite dei nemici, gli antichi usavano sfregare la punta della lancia (dóry) con una leguminosa del genere; malgrado il nome, non é certo si tratti di questo genere.","Si incontra nei prati aridi, scarpate, terreni sabbiosi fino oltre i 1200 m.","Comune in tutta l'Europa meridionale.","Trifoglino legnoso",,,Maggio,Luglio
648332,"Melilotus officinalis",Specie,"Pianta bienne, con fusti mollo ramosi, porta racemi di fiori gialli di piccole dimensioni; legume di 2-3 cm, glabro.<br /><br />Ha proprietà analoghe alla precedente.<br />Specie simile é <em>M. altissima</em> Thuil., che si distingue per i legumi pubescenti e striati.",14224ae76c0adc29ee8b759a82fcc640,703242,,"(L.) Pallas",,"Cresce nei campi, lungo i sentieri, negli incolti e discariche fino a 1500 m.","Specie euro-asiatica, é diffusa pressoché ovunque, salvo le estreme regioni meridionali.","Meliloto comune",,,Maggio,Agosto
572331,"Melilotus alba",Specie,"Pianta annuale o bienne, con fusti ramosissimi, odorosi di cumarina; racemi ricchi di piccoli fiori bianco-avorio; legumi ovoidali, a maturità neri di 5 mm.<br /><br />Buona foraggera, talora viene coltivata; ha usi officinali per le proprietà risolutive, emollienti, sedative e antispasmodiche; mellifera.",aa8673ede37d14c325ee327a4417aeeb,703240,,Med.,"Il nome del genere deriva dal greco e significa ","Cresce frequentemente negli incolti, negli ambienti ruderali e umidi, nei prati, nei campi e sulle rive dei corsi d'acqua fino oltre i 1000 m.","Specie euro-asiatica, è diffusa ovunque.","Meliloto bianco",,,Luglio,Settembre
662330,"Genista tinctoria",Specie,"Piccolo arbusto, a rami ascendenti, pelosi; le foglie, intere, sono lucide superiormente; le infiorescenze sono dei racemi; legumi di 2-3 cm.<br /><br />Fiori e radici venivano usati come coloranti per tingere in giallo e verde; i semi sono purgativi ed emetici; buona mellifera.",849a83ff389dd0dcd1ec9223c5ae6cf7,643982,,Linneo,"Il termine celtico gen designava un piccolo cespuglio.","Si incontra comunemente nei prati aridi, nelle scarpate, nelle brughiere, nelle schiarite fino al piano montano.","Diffusa ovunque, salvo che nelle zone spiccatamente mediterranee.",Ginestrella,,,Maggio,Luglio
629329,"Genista sericea",Specie,,,,,,,,,,,,,
42328,"Lathyrus aphaca",Specie,"Pianta annua, con fusti rampanti quadrangolari, porta le foglie ridotte alle sole stipole sessi-i. astate, che coprono dei cirri; i fiori, per lo più solitari, sono peduncolati e di 1-2 cm, gialli; il legume è di 3-4 cm",e7467ba6129302cd490ec26d43b9d7af,704232,,Linneo,,"infestante dei cereali, si diffonde anche nei campi e negli incolti fino a 1500 m","La specie gravita nell'area mediterranea e nell'Europa centro-occidentale","Cicerchia bastarda",,,Aprile,Giugno
499327,"Genista germanica",Specie,"Simile alla precedente, ma con rami di solito spinosi e legumi più piccoli.<br /><br /><em>G. sericea</em> Wulf., ginestra sericea, presenta fusti più o meno prostrati ed è coperta di minuti peli sericei.",a87e61056a4f47fe55f9f684df245bcf,703920,,Linneo,,,"Presenta diffusione prevalentemente centro-europea.","Ginestra spinosa",,,,
368326,"Spartium junceum",Specie,"Cespuglio con fusti verdi ramosissimi; foglie che cadono precocemente, corolle giallo intenso di più di 2 cm; legume erette, pubescente, a forma di falce.<br /><br />Spesso utilizzata come ornamentale per i fiori profumati, è specie mellifera; un tempo si fabbricavano tele grossolane e corde con la fibra estratta dai rami; i semi sono velenosi.",e287bdd80d40082fc60d201639889c3c,703629,,Linneo,"Il nome del genere deriva dal greco e significa 'corda', i rami infatti si utilizzavano come legacci; junceum = a forma di giunco,","È presente negli ambienti soleggiati su substrati acidi delle regioni mediterranee.","Europa meridionale e sud-occidentale.",Ginestra,,,Maggio,Giugno
714325,"Leguminosae - 2",Chiave,"Foglie composte palmate",,,,,,,,,,,,
67324,"Leguminosae - 3",Chiave,,,,,,,,,,,,,
42322,"Leguminosae - 5",Chiave,"Foglie composte pennate<br />Piante con cirri [b] o reste [a]",,,,,,,,,,,,
105321,"Leguminosae - 4",Chiave,"Foglie composte pennate<br />Piante senza cirri o reste",,,,,,,,,,,,
99320,Trifolium,Genere,"In questo genere l'aspetto più significativo è dato dalle infiorescenze di solito a capolino sferico, formato da fiori piccoli con calice tubuloso e petali allungati, saldati tra loro tranne il vessillo; le foglie sono naturalmente trifogliate; i legumi sono di solito coperti o appena sporgenti dai restì membranosi del calice, Sono piante buone foraggere e mellìfere.",5aa1c2616a8609e66953d61de1c878d7,,,,,,,,,,,
441319,"Leguminosae - 1",Chiave,,,,,,,,,,,,,
